State,Rate_2024,Rate_2023,Rate_2022,Rate_2021,Rate_2020,Rate_2019,Rate_2018
United States,4.1,4.1,3.6,5.3,8.1,3.7,3.9
Alabama,2.9,2.9,2.5,3.4,6.4,3.2,3.9
Alaska,3.3,3.3,4.2,6.4,8.3,5.6,6
Arizona,4.2,4.2,3.8,5.1,7.8,4.8,4.8
Arkansas,3.7,3.7,3.2,4,6.2,3.5,3.7
California,5.4,5.1,4.3,7.3,10.1,4.1,4.2
Colorado,3.3,3.3,3.1,5.5,6.8,2.7,3
Connecticut,3.2,3.2,4.1,6.4,8,3.6,3.9
Delaware,4.2,4.2,4.3,5.5,7.5,3.6,3.7
District of Columbia,5.7,4.7,4.7,6.8,7.9,5.5,5.7
Florida,3.3,3.3,3,4.7,8.1,3.3,3.6
Georgia,3.6,3.6,3.1,3.9,6.5,3.6,4
Hawaii,2.9,2.9,3.3,6,11.7,2.5,2.4
Idaho,3.7,3.7,2.8,3.6,5.5,2.9,2.9
Illinois,5.3,5.3,4.6,6.1,9.3,4,4.4
Indiana,4.4,4.4,3.1,3.9,7.3,3.3,3.4
Iowa,3,3,2.8,3.8,5.2,2.7,2.6
Kansas,3.4,3.4,2.6,3.3,5.8,3.2,3.4
Kentucky,5,5,4,4.5,6.5,4.1,4.2
Louisiana,3.7,3.7,3.7,5.6,8.6,4.6,4.8
Maine,2.9,2.9,2.8,4.7,5.1,2.9,3.2
Maryland,3,3,3,5.2,6.4,3.4,3.8
Massachusetts,3.9,3.9,3.7,5.4,9.3,3,3.5
Michigan,4.7,4.7,4.1,5.7,10,4.1,4.2
Minnesota,3.4,3.4,2.6,3.7,6.3,3.3,3
Mississippi,2.9,2.9,3.8,5.4,8,5.5,4.9
Missouri,3.8,3.8,2.6,4.2,6.2,3.2,3.2
Montana,3.3,3.3,2.7,3.4,5.8,3.5,3.7
Nebraska,2.7,2.7,2.2,2.6,4.3,3.1,2.9
Nevada,5.7,5.3,5.2,6.8,13.5,4.1,4.4
New Hampshire,2.5,2.5,2.3,3.4,6.7,2.6,2.6
New Jersey,4.4,4.4,3.9,6.7,9.4,3.5,4
New Mexico,3.8,3.8,4.1,7.1,7.9,5,4.9
New York,4.4,4.4,4.3,7.1,9.8,3.9,4.1
North Carolina,3.5,3.5,3.7,4.9,7.2,3.9,4
North Dakota,2.4,2.4,2,3,4.9,2.2,2.4
Ohio,4.3,4.3,4,5.1,8.2,4.2,4.5
Oklahoma,3.3,3.3,3.1,4,6.3,3.1,3.3
Oregon,3.7,3.7,3.9,5.2,7.6,3.7,4
Pennsylvania,3.4,3.4,4.1,5.9,8.9,4.3,4.4
Rhode Island,4.6,4.6,3.2,5.5,9.2,3.5,4
South Carolina,4.7,4.7,3.2,3.9,6,2.8,3.4
South Dakota,1.9,1.9,2,2.6,4.2,2.8,2.8
Tennessee,3.3,3.3,3.4,4.5,7.4,3.3,3.5
Texas,4.1,4.1,3.9,5.6,7.7,3.5,3.9
Utah,3.5,3.5,2.4,2.8,4.8,2.5,2.9
Vermont,2.3,2.3,2.3,3.6,5.6,2.1,2.5
Virginia,2.9,2.9,2.8,3.9,6.4,2.8,3
Washington,4.7,4.7,4.1,5.2,8.5,4.2,4.4
West Virginia,2.9,2.9,3.9,5.1,8.2,5,5.1
Wisconsin,2.69,2.69,2.9,3.9,6.4,3.2,3
Wyoming,3.2,3.2,3.4,4.5,5.9,3.7,4.1
