DATE,GDPC1,UNRATE
2018-01-01,20044.077,4.0
2018-04-01,20150.476,4.0
2018-07-01,20276.154,3.8
2018-10-01,20304.874,3.8
2019-01-01,20431.641,4.0
2019-04-01,20602.275,3.7
2019-07-01,20843.322,3.7
2019-10-01,20985.448,3.6
2020-01-01,20693.238,3.6
2020-04-01,19056.617,14.8
2020-07-01,20548.793,10.2
2020-10-01,20771.691,6.8
2021-01-01,21058.379,6.4
2021-04-01,21389.005,6.1
2021-07-01,21571.421,5.4
2021-10-01,21960.388,4.5
2022-01-01,21903.85,4.0
2022-04-01,21919.222,3.7
2022-07-01,22066.784,3.5
2022-10-01,22249.459,3.6
2023-01-01,22403.435,3.4
2023-04-01,22539.418,3.4
2023-07-01,22780.933,3.5
2023-10-01,22960.6,3.8
2024-01-01,23053.545,3.7
2024-04-01,23223.906,3.9
2024-07-01,23386.733,4.3
